,precision,recall,f1-score,support
Entertainment,0.0,0.0,0.0,70.0
Food & Drinks,0.27927927927927926,1.0,0.43661971830985913,279.0
Fuel,0.0,0.0,0.0,80.0
Gifts,0.0,0.0,0.0,70.0
Health,0.0,0.0,0.0,61.0
Other Expenses,0.0,0.0,0.0,46.0
Other Income,0.0,0.0,0.0,55.0
Rent,0.0,0.0,0.0,33.0
Salary,0.0,0.0,0.0,31.0
Shopping,0.0,0.0,0.0,109.0
Sports,0.0,0.0,0.0,20.0
Transport,0.0,0.0,0.0,68.0
Vehicle,0.0,0.0,0.0,77.0
accuracy,0.27927927927927926,0.27927927927927926,0.27927927927927926,0.27927927927927926
macro avg,0.021483021483021482,0.07692307692307693,0.03358613217768147,999.0
weighted avg,0.07799691583475367,0.27927927927927926,0.12193884024869939,999.0
