,precision,recall,f1-score,support
Entertainment,0.9324324324324325,0.9857142857142858,0.9583333333333334,70.0
Food & Drinks,0.9254237288135593,0.978494623655914,0.9512195121951219,279.0
Fuel,1.0,0.9875,0.9937106918238994,80.0
Gifts,0.9428571428571428,0.9428571428571428,0.9428571428571428,70.0
Health,1.0,0.9672131147540983,0.9833333333333333,61.0
Other Expenses,1.0,0.9130434782608695,0.9545454545454546,46.0
Other Income,1.0,1.0,1.0,55.0
Rent,1.0,1.0,1.0,33.0
Salary,0.967741935483871,0.967741935483871,0.967741935483871,31.0
Shopping,1.0,0.908256880733945,0.9519230769230769,109.0
Sports,0.8636363636363636,0.95,0.9047619047619048,20.0
Transport,0.9848484848484849,0.9558823529411765,0.9701492537313433,68.0
Vehicle,1.0,0.961038961038961,0.9801324503311258,77.0
accuracy,0.963963963963964,0.963963963963964,0.963963963963964,0.963963963963964
macro avg,0.9705338529286041,0.9629032904184817,0.9660544684092007,999.0
weighted avg,0.9656715864381157,0.963963963963964,0.9641221804136038,999.0
