,precision,recall,f1-score,support
Entertainment,0.9452054794520548,0.9857142857142858,0.965034965034965,70.0
Food & Drinks,0.9254237288135593,0.978494623655914,0.9512195121951219,279.0
Fuel,0.9875,0.9875,0.9875,80.0
Gifts,0.9705882352941176,0.9428571428571428,0.9565217391304348,70.0
Health,1.0,0.9672131147540983,0.9833333333333333,61.0
Other Expenses,1.0,0.9130434782608695,0.9545454545454546,46.0
Other Income,0.9821428571428571,1.0,0.990990990990991,55.0
Rent,1.0,1.0,1.0,33.0
Salary,1.0,0.967741935483871,0.9836065573770492,31.0
Shopping,0.99,0.908256880733945,0.9473684210526315,109.0
Sports,0.9047619047619048,0.95,0.926829268292683,20.0
Transport,0.9850746268656716,0.9705882352941176,0.9777777777777777,68.0
Vehicle,0.9866666666666667,0.961038961038961,0.9736842105263158,77.0
accuracy,0.964964964964965,0.964964964964965,0.964964964964965,0.964964964964965
macro avg,0.975181807615141,0.9640345121379388,0.9691086330966738,999.0
weighted avg,0.9662465300996089,0.964964964964965,0.9650152768564966,999.0
