,precision,recall,f1-score,support
Entertainment,0.9848484848484849,0.9285714285714286,0.9558823529411765,70.0
Food & Drinks,0.8584615384615385,1.0,0.9238410596026491,279.0
Fuel,1.0,0.975,0.9873417721518988,80.0
Gifts,1.0,0.9,0.9473684210526315,70.0
Health,1.0,0.9672131147540983,0.9833333333333333,61.0
Other Expenses,1.0,0.8478260869565217,0.9176470588235294,46.0
Other Income,1.0,0.9818181818181818,0.9908256880733946,55.0
Rent,1.0,1.0,1.0,33.0
Salary,1.0,0.9354838709677419,0.9666666666666667,31.0
Shopping,1.0,0.8990825688073395,0.9468599033816425,109.0
Sports,0.9333333333333333,0.7,0.8,20.0
Transport,1.0,0.9558823529411765,0.9774436090225563,68.0
Vehicle,0.9866666666666667,0.961038961038961,0.9736842105263158,77.0
accuracy,0.950950950950951,0.950950950950951,0.950950950950951,0.950950950950951
macro avg,0.9817930787161556,0.9270705050658036,0.9516072365827534,999.0
weighted avg,0.9570472103805436,0.950950950950951,0.95122253075419,999.0
