,precision,recall,f1-score,support
Entertainment,1.0,0.9285714285714286,0.9629629629629629,70.0
Food & Drinks,0.8664596273291926,1.0,0.9284525790349417,279.0
Fuel,1.0,0.975,0.9873417721518988,80.0
Gifts,1.0,0.9,0.9473684210526315,70.0
Health,1.0,0.9344262295081968,0.9661016949152542,61.0
Other Expenses,1.0,0.8478260869565217,0.9176470588235294,46.0
Other Income,0.9649122807017544,1.0,0.9821428571428571,55.0
Rent,1.0,0.9696969696969697,0.9846153846153847,33.0
Salary,1.0,0.967741935483871,0.9836065573770492,31.0
Shopping,0.9801980198019802,0.908256880733945,0.9428571428571428,109.0
Sports,1.0,0.75,0.8571428571428571,20.0
Transport,0.9848484848484849,0.9558823529411765,0.9701492537313433,68.0
Vehicle,0.9864864864864865,0.948051948051948,0.9668874172185431,77.0
accuracy,0.950950950950951,0.950950950950951,0.950950950950951,0.950950950950951
macro avg,0.983300376859069,0.9296502947649274,0.9536366122327996,999.0
weighted avg,0.9565396917427562,0.950950950950951,0.9511806911986019,999.0
