,Entertainment,Food & Drinks,Fuel,Gifts,Health,Other Expenses,Other Income,Rent,Salary,Shopping,Sports,Transport,Vehicle
Entertainment,0,70,0,0,0,0,0,0,0,0,0,0,0
Food & Drinks,0,279,0,0,0,0,0,0,0,0,0,0,0
Fuel,0,80,0,0,0,0,0,0,0,0,0,0,0
Gifts,0,70,0,0,0,0,0,0,0,0,0,0,0
Health,0,61,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,46,0,0,0,0,0,0,0,0,0,0,0
Other Income,0,55,0,0,0,0,0,0,0,0,0,0,0
Rent,0,33,0,0,0,0,0,0,0,0,0,0,0
Salary,0,31,0,0,0,0,0,0,0,0,0,0,0
Shopping,0,109,0,0,0,0,0,0,0,0,0,0,0
Sports,0,20,0,0,0,0,0,0,0,0,0,0,0
Transport,0,68,0,0,0,0,0,0,0,0,0,0,0
Vehicle,0,77,0,0,0,0,0,0,0,0,0,0,0
