,precision,recall,f1-score,support
Entertainment,0.0,0.0,0.0,57.0
Food & Drinks,0.2974537037037037,1.0,0.45851917930419267,257.0
Fuel,0.0,0.0,0.0,48.0
Gifts,0.0,0.0,0.0,53.0
Health,0.0,0.0,0.0,92.0
Other Expenses,0.0,0.0,0.0,29.0
Other Income,0.0,0.0,0.0,39.0
Rent,0.0,0.0,0.0,23.0
Salary,0.0,0.0,0.0,30.0
Shopping,0.0,0.0,0.0,111.0
Sports,0.0,0.0,0.0,22.0
Transport,0.0,0.0,0.0,33.0
Vehicle,0.0,0.0,0.0,70.0
accuracy,0.2974537037037037,0.2974537037037037,0.2974537037037037,0.2974537037037037
macro avg,0.02288105413105413,0.07692307692307693,0.03527070610032251,864.0
weighted avg,0.08847870584705077,0.2974537037037037,0.13638822810321471,864.0
