,precision,recall,f1-score,support
Entertainment,0.9577464788732394,0.9855072463768116,0.9714285714285714,69.0
Food & Drinks,0.950381679389313,0.9841897233201581,0.9669902912621359,253.0
Fuel,0.9841269841269841,1.0,0.992,62.0
Gifts,0.9206349206349206,1.0,0.9586776859504132,58.0
Health,1.0,0.9680851063829787,0.9837837837837838,94.0
Other Expenses,0.9565217391304348,0.8461538461538461,0.8979591836734694,26.0
Other Income,0.9444444444444444,0.9444444444444444,0.9444444444444444,36.0
Rent,1.0,0.9333333333333333,0.9655172413793104,15.0
Salary,0.9782608695652174,0.9183673469387755,0.9473684210526315,49.0
Shopping,1.0,0.9581151832460733,0.9786096256684492,191.0
Sports,1.0,1.0,1.0,26.0
Transport,0.975,0.975,0.975,40.0
Vehicle,0.9642857142857143,0.9818181818181818,0.972972972972973,55.0
accuracy,0.9702258726899384,0.9702258726899384,0.9702258726899384,0.9702258726899384
macro avg,0.9716463715730974,0.9611549547703542,0.9657501708935524,974.0
weighted avg,0.9710306288010773,0.9702258726899384,0.9701630376002645,974.0
