note,note_clean,type,type_token,amount,date_time,category,model_text_textonly,model_text_with_type
The Major Mats Band Gig,the major mats band gig,Expense,[TYPE_EXPENSE],10.0,2026-02-06 19:19:00.000,Entertainment,the major mats band gig,[TYPE_EXPENSE] the major mats band gig
Escape Room at Codex (Discounted by Jerome),escape room at codex discounted by jerome,Expense,[TYPE_EXPENSE],12.0,2025-08-27 18:25:00.000,Entertainment,escape room at codex discounted by jerome,[TYPE_EXPENSE] escape room at codex discounted by jerome
One way tour (guided tour armenia),one way tour guided tour armenia,Expense,[TYPE_EXPENSE],66.5,2025-08-12 13:53:14.455,Entertainment,one way tour guided tour armenia,[TYPE_EXPENSE] one way tour guided tour armenia
Cinema - Mission Impossible,cinema - mission impossible,Expense,[TYPE_EXPENSE],10.0,2025-07-24 11:26:12.873,Entertainment,cinema - mission impossible,[TYPE_EXPENSE] cinema - mission impossible
Ball Room (billiard + darts),ball room billiard darts,Expense,[TYPE_EXPENSE],20.0,2025-06-24 14:04:29.017,Entertainment,ball room billiard darts,[TYPE_EXPENSE] ball room billiard darts
Brain Scape Escape Room (Casino),brain scape escape room casino,Expense,[TYPE_EXPENSE],15.0,2025-03-05 19:12:12.322,Entertainment,brain scape escape room casino,[TYPE_EXPENSE] brain scape escape room casino
Pool With Alex,pool with alex,Expense,[TYPE_EXPENSE],20.0,2024-10-10 17:43:00.000,Entertainment,pool with alex,[TYPE_EXPENSE] pool with alex
Pool with Sassiya,pool with sassiya,Expense,[TYPE_EXPENSE],1.7,2024-09-02 20:03:21.249,Entertainment,pool with sassiya,[TYPE_EXPENSE] pool with sassiya
The Major Mats Concert Gig,the major mats concert gig,Expense,[TYPE_EXPENSE],10.0,2024-08-28 11:59:40.510,Entertainment,the major mats concert gig,[TYPE_EXPENSE] the major mats concert gig
Plage des Rois Beach,plage des rois beach,Expense,[TYPE_EXPENSE],15.0,2024-08-16 09:05:00.000,Entertainment,plage des rois beach,[TYPE_EXPENSE] plage des rois beach
Zahlen Grotto,zahlen grotto,Expense,[TYPE_EXPENSE],1.1,2024-08-13 14:41:56.403,Entertainment,zahlen grotto,[TYPE_EXPENSE] zahlen grotto
Zahlen Grotto,zahlen grotto,Expense,[TYPE_EXPENSE],5.0,2024-08-13 14:41:42.393,Entertainment,zahlen grotto,[TYPE_EXPENSE] zahlen grotto
Jabal el 40 Hike,jabal el 40 hike,Expense,[TYPE_EXPENSE],2.2,2024-08-13 11:05:25.001,Entertainment,jabal el 40 hike,[TYPE_EXPENSE] jabal el 40 hike
Jabal el 40 Hike,jabal el 40 hike,Expense,[TYPE_EXPENSE],5.0,2024-08-13 11:05:01.673,Entertainment,jabal el 40 hike,[TYPE_EXPENSE] jabal el 40 hike
Cinema + Popcorn (Deadpool),cinema popcorn deadpool,Expense,[TYPE_EXPENSE],10.0,2024-08-11 20:05:10.886,Entertainment,cinema popcorn deadpool,[TYPE_EXPENSE] cinema popcorn deadpool
